"","text"
"23","really liked it the pathway are so cool and the wind is chilly so i diddnt need to break a sweat while walking the inside is pretty neat because i love how they use the local artists work to fill it up"
"24","a wonderful huge statue and building also a museum of hindu religion and there is a kecak dance show at  local time every day of course souvenir shop and restaurants were available in here the cost is k for entrance k for shuttle and k for go up to the top of statue"
"25","a huge cultural park here in bali not too far from denpasar a definitely must visit for everyone to witness the greatest engineering marvel in bali the wisnu mounting garuda statue is quite a spectacle to see its so big that you can "
"26","definitely love this place you can watch lots of balis traditional dances here and see the parade of bali culture in the evening "
"27","i bought the tickets from an online vendor to avoid queueing but apparently if you do that youll still need to redeem those tickets and off course queueing if there are lots of visitors the tickets available to buy online were just for "
"28","garuda wisnu kencana is very attractive tourist spot this place has several other statues as well so be prepared for  hours walk to explore entry fee is idrperson  foreigner this place also offers shuttle service on additional "
"29","great view of garuda wisnu kencana statue dont forget to put a sun block and bring your hat they also have some performances my favorite kecak dance"
"30","great park very clean and staff is happy to help or answer any questions be sure to bring water as it can get very hot during the day with not much shade to cool down in "
"31","love the ambiance the kecak dance and the scenery you need to walk quite a bit tho i need to give a big applause to the security guy that took awesome pictures for us the sky was totally beautiful"
"32","although the main statue may impress from a far do not be fooled upon arriving at the grand entrance you park your vehicle far away from the entrance here you take a shuttle bus to the main entrance "
"33","nice place you can see the garuda wisnu kencana big statue inside theres the history and the looks of the building from the inside "
"34","we didnt see this on tripadvisor but we ran into it loved it its a beautiful site which eventually leads you to the huge statue before you get there though you follow a path that leads you past many statues with info next to it great "
"35","this is why i always wanted to go back here just to see the awesome view beside the biggest statue ill review separately but the whole place always makes me want to come back here this is the rd time i went to bali and gwk is always on my list"
"36","very huge statue on top unfortunately there are limited space for tour to the top and we did not get it take the buggy ride to the statue to save energy the walk to the top can be tiring as it is quite steep the dance show especially "
"37","its a cultural park with a lot of wide open space if you go by car you will have to go  to the designated parking area from there you will have to take there bus which will take you to the  ticketing area the  statue is huge  meter tall there are multiple restaurants food court and souvenir shops "
"38","utterly unworthy of time and cash spent to get there you need to leave carscooter on parking lot and get on a shuttle to get to ticket office where you pay k person what you get is a lot of walking around empty spaces and  big "
"39","a good tourist spot because it can teach balinese culture to every tourists who came dont forget to bring an umbrella its hot recommended"
"40","the place is huge and the statue is insane the architecture is beautiful even from far away you can see all its glory worth a visit if you are near by they also perform the kecak dance there several times a day"
"41","almost like a ghost town when i visited around am and the tickets there for locals are not cheap to just see the statue k per person not that worth of the money i also dont see any restaurants food place near the place itself "
"42","we come here on every visit to nusa dua   changed a bit this time though got a bit more professional  not a bad thing just different  great statues and this was the first time getting up close to garuda "
"43","first time to bali  gwk definitely a place to visit worth it entrance fee ticket k ticket also can be purchased online if you want to go to the top of the statue gwk you have to pay for another k entrance fee ticket at "
"44","finally i can saw the monumental statue of garuda wisnu kencana with my own eyes i guarantee its one of a spectacular experience the size is enormous the splendid finest detais and kudos to mr nyoman nuarta for make it happened was "
"45","its an amazing cultural park in bali you should come to visit its good to bring your kids to introduce them bali culture you can also watch traditional bali dance here"
"46","worth it definitely take the time if necessary wait for the next tour and spend those k idr the building is impressive and the guide was really nice "
"47","this is a must see when you come to bali the history and sheer size of this is something that you have to experience we were fortunate to also witness a very beautiful performance at the cultural center as well  there a number of shops "
"48","this place has changed a lot since last time i came here back in  first of all the parking spots were in the left when you enter the area then you went to the entrance area using a shuttle buggy car "
"49","gwk park garuda wisnu kenkana cultural park is a place to the huge statue of vishnu  garuda a bali landmark that can be seen anywhere in bali we dont have to go in to see it and the entrance fee is one of the most "
"50","absolutely amazing experience  i was really happy to see this and learnt about the building of the statue from an excellent exhibition in the statue after there was a show in the festival park area of gwk showing the various different balanesse dances"
"51","must visit place in the north of bali there are three big statues surprisingly quite newly built free shuttle trolley from the parking lot to the ticket office "
"52","this is the most iconic statue in bali only  min from airport the area is huge and need a lil time at first to study the flow is described like this  put you car in parking area where there is a tent to check temperature and scan "
"53","very very impressive felt delighted to see this magnificent hindu statue been built and maintained in indonesia a must place to visit when in bali"
"54","delightful statue that represents greatness of wishnu and garuda this site has been general and mustvisit tourism spot since forever its my second visit after  years and i must admit the road has been polished and the route is now "
"55","great cultural experience including great statues dancing and even the chance to rent clothes and take pictures in traditional balinese clothes "
"56","we had a nice time here take the time to view the cultural show well worth it you can walk around and take your time looking at all the statues thanks heaps"
"57","wow if there is one place to see in bali this is it a definite must see spend the day and visit all the shows when you are flying into bali look for the monument you will be shocked"
"58","amazing place to visit under construction due to g summit next year but spectacular all the same be better when you can climb to the top"
"59","still one of the must visit places in bali i think could be better managed by making the visiting experience more comfortable the site is designed to accomodate thousands of visitors but during my visit where only hundreds are visiting still have to walk signifikan distance to reach the main site"
"60","its a beautiful place to spend some time and take photos but the park has a really too small area doesnt meet the expectations at all"
"61","great afternoon on a glorious day lots of new things going on here at the moment and many things being built but still lovely to go see all the statues and areas around ticket is about  but includes a soft drink at the resto and there "
"62","the place is huge you can buy normal ticket or with shuttle bus ticket for the normal one was idr k each adult person on july  i forgot how much for the shuttle bus but if you walk with elders i recommend you to buy shuttle one "
"63","it is said that this place is the most iconic landmark in balithis is true because when i visited here gwk presented an amazing view a must visit location"
"64","wonderful you must take a shuttle bus to reach the enter gate ull get welcoming drink at the exit way and its funny tho many good spots for taking pics"
"65","one of the tallest and biggest statue in the world with some attraction inside the complex recommended to take the guided tour inside the statue which take about  minutes every hour or so"
"66","not exactly rich in activities but very cinematic place stunning by its scale gigantic squarecut rocks and the statue are making it look otherworldly"
"67","its been advertised as one of the best things about bali i wouldnt really say that if u are in south bali make sure u visit this place but u dont really have to "
"68","it is a very beautiful and aesthetic place but the cost of the ticket was very expensive also when we get inside the campus you have to walk too much apart from that there is very beautiful and scenic it is very well maintained and clean"
"69","most of the park was close due to the g event coming soon we were still able to see the garuda statue but not to go to the top of it and some balinese dance was waiting for us at the entrance of the park"
"70","the most iconic landmark in bali the structure has  meters combined the pedestal and the statue which have  meter tall and  meter wide it took  years to be completed you can enjoyed kecak dance at garuda wisnu kencanas "
"71","one of best tourist spot of bali where the tribute to garuda the devotee of rama the sculpture is recently made and one of the magnificent in entire world"
"72","iconic landmark in bali you can walk from the main entrance to the big statue for like  minutes or add another rp k and take a shuttle ride so you dont have to walk they have shows everyday if you wanna check out traditional bali dances"
"73","quite expensive all up k for family of  with shuttle but the statues are impressive worth it for us we dressed up and got photos for an additional k a gimmick but my wife liked it"
"74","great place to learn the bali culture amazing places and statues for photos "
"75","monument park the number  tallest statue in the world the widest copper statue in the world during pandemic we have to get off from our vehicle on park lot a and after "
"76","this impressive sprawling park in jimbaran bay contains the worlds third largest statuerising  feet from base to tip the feet tall copperandbrass statue with a headscratching silhouette is visible from the beaches of kuta "
"77","day  night an awesome place to go hot on sunny day make sure you bring your hat or mini umbrella dont forget to have lunch or dinner with sea shore view on jendela bali resto"
"78","certainly agree with the crowd here a must see when coming to bali if not for the sight itself please visit as matter of respect to the culture you bought into as a tourist some shops food festivals restaurants could be found in this area tooyou kay drop by scooter or drop off"
"79","a great place to visit at bali definitely a must to go place in bali world th tallest statue in the world taller than liberty statue it has an art gallery inside and you can pay more to go upstairs to floor th and rd to see "
"80","i recently visited gwk in  with my family i cant describe any words about this attraction "
"81","great statue with really wide area to enter the area you have to pay k per person for domestic and k per person for shuttle to enter the th and rd floor will be charge k per person youll be educated about the making process of gwk spare half day on this area because its spend a lot of energy"
"82","amazing time at the park wont take up all your day we saw it all in a couple hours including a wonderful balinese hindu ceremony to close out the day"
"83","great cultural education about a small part of the balinese history amazing dancers in the ampitheatre so skilled shame about all the shops there i mean while goes to a temple to buy ralph lauren dont understand the huge amount of "
"84","impressive environment  beautiful show beautiful atmosphere in the evening there is also a small cultural museum"
"85","this is my second visit after  years  a lot of things has changes one that has change a lot is the statue of gwk "
"86","limited access while g preparation but visitors still able to enter some sites with shutle included on the package to the main statue performance held every  hour with different story"
"87","best view in baliall goodvery hot but happyticketing are need little bit humble and have good interaction with customer jangan judes im forgot section  old woman but its okay maybe they are tiredyah need extra energy for travellingplease free welcome drink for local"
"88","very touristy but the art shows in the amphitheater worth it included in the entrance ticket fee which is quite expensive in indonesia  the art performers get  stars though i hope the sanggar gets enough money from the company"
"89","historical monuments and the latest spots in bali which are highly recommended to visit when in bali the construction at this spot is still not completely finished but for photo spots and the places and facilities provided are quite adequate"
"90","beautiful place with lots of activity to do its a great place to bring your kids and learn lots about baliness culture and gods"
"91","really great place to relax there were so many historical monuments along with some breathtaking landscape "
"92","incredible waste of time it takes  hours of travel to see the statue for  minutes from the parking they take you up in a bus to the ticket office from there you take a trolley up to the statue after seeing the statue you take the "
"93","nice park with huge statues museum caf in the museum they present the life customs clothes everyday life of the bali and javanese people"
"94","nice place must visit in bali you can see kecak dance in  pm its free include your tiket"
"95","nice cultural park but make sure that youre in good condition because it needs a lot of walking to explore entire area"
"96","dont come before am shows start at am expensive place if come only for sightseeing shows are interactive you can join the danceask for a photo with performer the way from start to finish is a bit confusing"
"97","beautiful structures to watch there is cultural show also superb place to get good pictures"
"98","the worst place i have came to on this island or any other surrounding  island as the day went on it was disappointment after one another constantly paying for parking shuttle entrance another entrance another shuttle and another fee "
"99","the new statue already finished the ticket price was rb per pax and ylu have to pay more another tickets for the shuttle to the th and rd level of gwk they also have some photo area and also need to pay more if you want to have nice photos"
"100","under construction in places still pretty impressive pickup area for ride share a considerable distance away from the drop off point it made for a sweaty frantic walk at the end of the visit"
"101","good place for taking pictures make sure u have a strong legs cause u need to walk far away from the ticket entrance to the gwk giant statue "
"102","its alright ticket is k for regular k for balinese and something for the eat and trip package for the regular you gotta walk to the statues free welcoming drink free dancing performances ticket verall its alright"
"103","a wonderful landscape to explore we get historical information an also do a fun photo section and also cool performance af theathre"
"104","i love this place its clean the statue are awesome and interesting must visit if you are in bali"
"105","the sameold indonesian mgmt of an attraction  everything is made super far from parking  to the the statue itself and "
"106","forget to take pictures inside  it s one of balis icon kinda it s a must to visit  tickets a bit pricy for local rp but its worth  the parking park moved quite far but dont worry there are free shuttle  "
"107"," minutes drive from airport it is devoted to the hindu god vishnu garuda the mythical bird  indonesias tallest statue"
"108","always great to learn about the culture of a country or area very impressive construction with some interesting things to see"
"109","best view we got we were staying locally and saw signs and banners all over gwk advertising free admission that day for kecak and museum they all said free entry so we get our pass to take the bus from the parking area to the front gate "
"110","there seems to be a process of extracting as much money as they can from you you need to go to the parking bay to get a shuttle once inside you will need to line up and be upsold if you dont buy the shuttle you will need to walk up the "
"111","far way more organized and well managed than last time i visited it in but also not worth the entrance price as for me it set a little bit too high for entrance but what we got was only see this and that we need to pay extra if we "
"112","its very hot but also a must if you want to learn about balis history"
"113","i really like the sculptures and the cultural heritage of the park by the way really big park need to walk a bit please do not forget to wear sth cotton because in hot weather it is unbearable to wear silicon"
"114","good place to visit can see some huge statues and take nice pics for social media some food and drinks available costs k to get in if my memory serves me right cartoon movie show every hour  traditional dance show on amphitheater"
"115","absolutely great place  atmosphere was something different defiantly a must do in bali as i live here im lucky"
"116","its impressive how huge the statue is but thats all theres not much to do over there yet its a mustsee museum to check the its history"
"117","nice place but not organised and just  idol for attraction such high entry fee only to see a single thing"
"118","a mustvisit when you are in bali if you are a lover of foreign culture and is keen to know hinduism more you will surely love it here"
"119","good place to spend time in uluwatu if u are interested with cultural activity price includes kecak dance so u dont need to go up another place and pay  for just kecak dance"
"120","great place with great experience theres a lot of things to entertain the visitors here in the early of  i paid around k to enjoy gwk and by the end of the same year the price is changed to k but the difference is when i pay "
"121","even though some attractions were closed due to the g summit it is an excellent value for this price the traditional dance alone was worth it not to mention some lovely places to take pictures and the frequency of shuttle buses"
"122","worth it  still not a finished parc but the statues are huge and wonderful the  pm event was really good"
"123","super grand statue of wisnu really this one is the icon of bali "
"124","recommend using the gold buggy shuttle to the top to view the gwk  it was a challenge navigating to the exit however it is bali the gwk was amazing"
"125","really beautiful scenery especially at night you can enjoy a contemporary kecak dance in the evening recommended"
"126","not much to see except  statues the entire park is centred around attracting tourists and encashing on them in as many novel ways as possible"
"127","this is massive it is well worth a trip out here to see the largest copper statue in the world"
"128","not really much you can do here other than look at the statue ticket price a bit too much for what you can do here one visit is enough"
"129","i feel happy because i can visit this tourist spot its really amazing"
"130","very nice place worth of entrance ticket for one   idr  enormous monuments of wisznu and garuda make really big impression worth of visit"
"131","we went at first thing in the morning  am  it was just us in the entire park and we had plenty of time to enjoy and take photos also we had enjoyed a traditional dance in the athreum included in the ticket price"
"132","cool place to visit you can learn a lot about the biggest statue and take see a show"
"133","beautiful property sacred place for hindus must visit"
"134","well worth the price of admission the entire park is well maintained and offers great insight into balis culture "
"135","good experience for kids they can watch the traditional balinese dance in gwk such as kecak barong etc unfortunately the elevator is under maintenance inside the statue"
"136","well manage place clean with great kecak dance everyday"
"137","went there today would not recommend going atm as it is really just a big construction site r is pretty steep to see a statue you can see for miles around"
"138","i like the assana museum the statue display inside the gwk building the dance performance in the ballroom all is done profesionally"
"139","fantastic place and the story behind it is fascinating take the tour up inside in statue"
"140","    a main travel destination in bali "
"141","the park does not have that many things to see basically three huge statues a collection of miniatures showcasing myths and thats basically it it is worth seeing but its a bit of a hussle with all the connecting shuttles required i "
"142","when i visited gwk a few days ago i only saw  statues not many photo objects here however there are many dance performances one of which is the kecak dance thank you"
"143","natural landscapes with a performance of the garuda being put up food is alright ambience is good"
"144","wht a good place so many culture and arts  many tourists visit the gwk  just to see a culture of kecak"
"145","beautiful spots for amazing pictures the statues are incredible and the show they put in was beautiful to watch dont miss the art museum which has local art and picture spots inside so its a great little spot to get out of the heat and its included in your ticket price"
"146","nice place and the trust need to add more attractions infrastructure"
"147","very good statue but theres a event so its a little bit distrub"
"148","feels like a very unfinished place the statue is impressive and the dance show was interesting but the rest of the park felt very random and unfinished "
"149","my daughter and i went here early around am perfect time for photos there were only a few people there and the car park was empty when we arrived but full when we left around am the statues are amazing and the park itself has large "
"150","pay paypay  in my opinion too many private companies maybe  will cause total cost visiting this tourist attraction rather expensive for locals    august "
"151","one of the nice place to enjoy during visit bali"
"152","really interesting place there are small carts available that can take you at the top of the hill take them if you can  its worth it "
"153","best tip  buy the lunch deal and entry us free"
"154","i breathtaking view  at uluwatu and amazing kecak dance a must in bali"
"155","i visited this fascinating monument before pandemic in mid "
"156","first time to the big garuda very impressive quite a walk to get there unless you grab the golf carts"
"157","the best thing was the guided tour  we took about  hours and went about in our own pace  the place is clean and folks are friendly"
"158","awesome the best place to see cultural events and dance"
"159","its hard not to notice this huge state from a distance everywhere in bali  the statues were great as were the views but opening up the park when the main headline attraction is still under construction isnt right especially not at the "
"160","the statues are magnificent if you are happy to walk then i would recommend walking around its an ok price to the statues and enjoy learning about the culture and history about the statues it is still getting built so i imagine it will be an incredible place to visit but for now it is just ok"
"161","i have mixed feelings about this place the  big statues are magnificent but the whole area is under construction in some corners and very dirty in others there is almost no shade everything is covered in concrete i think it was the "
"162","beautiful  place imagine before mataram dynasty how beautiful indonesia was thanks to balinese people to preserve this cultur "
"163","its a very very big statue and the continued development of the surrounding area is beautiful  the cultural display within the statue is underwhelming and if we were able to take a lift to the top of the statue and look over the countryside well that would have been awesome  well worth a look"
"164","very ancient and traditional place with lot of positive and joyous vibrations"
"165","its not exactly a completed plan yet that gigantic statue is definitely an eye catcher that calls u from a far thus we visited as a family though the wait took longer than visit itself i still feel this place might be worth a family visit when the entire construction plan achieves its end target till then it can wait "
"166","wow the view excellent and you wont be disappointed at here if you have any question feel free to ask the staff and they definitely help you"
"167","very nice  but confusing need to be more clear about exit signs and make it more convenient the driver should be able to drive as close to the statue as possible rather than to park car so far no need for unnecessary shuttles around the "
"168","the area was well maintained and staff were friendly we also watched the dance show and it was nice "
"169","amazing cultural centre has a movie to watch with english subtitles if you speak english to understand the story behind the statue will be an amazing view once you can go higher into the statue which they are currently constructing some of the park is still being constructed or under renovations"
"170","clearly its early days the main statue is very impressive and the site has a number of insta friendly angles but theres not actually a lot to it we had anticipated half a day   hours  actually done in  also note that the online price for tickets is for locals foreign visitors get charged over double for entrance"
"171","one of the best tourist area with incredible wonderful views"
"172","sooo beautiful glad i could came here in my such a short vacation in bali"
"173","there were concert rehearsals when we were there some of the walking paths were not accessible which added to the experience"
"174","relatively touristy but the sculptures were very interesting kinda like jurrasic park"
"175","some of the scenes in this park are just stunning like out of the lord of the rings movie"
"176","breathtakingly beautiful and the story behind the construction process is also jawdropping  "
"177","giant statue in the island spotted and unique good place to see balinese culture facilities are okay unfortunately the ticket a bit pricey for local tourists my thought"
"178","bali also has similarity to indian hindu culture here you can see reference to lord vishnu"
"179","expensive dont take the shuttles they are not needed you can walk a little bit and unfinished i guess its fine if there is bad weather the big statue is best seen from far away still under construction and closed at the top the most interesting thing are the dances in the amphitheater"
"180","marvelous architecture i cant believe this archaic site exists the site is well maintained and a must visit place i cant be sure that india has such a huge statue for lord vishnu it is quite amazing indeed"
"181","nice place to visit with one of the biggest statue on the world best view in bali"
"182","nice  good place for hangout with family "
"183","great place dont forget to visit this place when you are in bali"
"184"," december   i suggest to come in the morning when its less crowded and the weather is not so hot i came at am and managed to be the first  visitors they will give you free drinks for the first  visitors "
"185","with idr k you can enjoy up to  local performance"
"186","stunning place and extremely interesting exhibition even though its incomplete yet"
"187","the statues were incredible very good price entry included a free gamelan show which we loved i didnt enjoy the piped music which was everywhere too much there was some kind of immersive touristy game that you could take part in but we avoided that dont pay the extra for the golf buggy up to vishnu  its a min walk"
"188","i recommend you to go to gwk and follow the tour inside the building very interesting history"
"189","busy at times g prep was on so restricted access may need to come back next time"
"190","the great statue in bali indonesia and full of history"
"191","overall gwk is great however giving  stars rating due to the confusing shuttle services "
"192","awsome plenty of space and plenty of souvenirs  restrooms unsure not used   apparently our taxi guide mentioned that you could actually climb the interior of the great statute  that part was closed when we visited  ice cream bit cheap"
"193","impressive big statue but nothing much else to see the place is huge so you have to take shuttle bus between the parking area entrance and the statue itself otherwise its a  minute walk in the heat nice to see once"
"194","preferred to walk than using shuttle k rupiahs for shuttle theres many little spot you only could enjoy while walking and its not far bring your hat here in the summer and if it rain they provide free umbrella to use k rupiahs "
"195","the attendants at the entrance to the park try to squeeze as much money out of you as possible from parking the car to transportation around the park the basic entrance ticket costs k transportation through the park costs an "
"196","very culturally enriching experience and a bali must in my opinion the entry fee for foreigners is rather steep with roughly  however since the place is taken so well care of its well worth it"
"197","nice place but a bit overpriced k per person for a walk around a park is quite a lot they even charge k per person for a  mins shuttle which you might need to take if it rains drones are not allowed unless you get a formal "
"198","one of the tallest statue in the world while in bali you will see this beautiful statue from a lots of places this place was not in our itinerary and after seeing this statue from outside we visited this sight "
"199","the gwk park is really nice they have theater festival inside which is really cool  the main attraction is sadly only open until pm to be enteredso we didnt get to  when we were there  but it would be good  "
"200","absolutely exquisite  a must see when planning a visit to bali those memories will last a lifetime  lovely reataurant on the property as well reasonable and delicious food"
"201","this place is nice you can view the statue and also get inside the statue and goes up to rd floor to see bali from above theres also a show at their theater which is nice and at pm theres tari pecak which also a good show to enjoy "
"202","this place is a classic tourist trap you pay to enter at the road then theres a park entrance fee a shuttle fee to get to the statue etc the overall price is  idr per person you can pay around  idr per person to avoid "
"203","it is an impressive tourist attraction the main statue of garuda is really amazing there will be a long wait for ticket lots of walking and lots of water is needed which is readily available for purchase there is a shuttle for those who "
"204","great place to see any traditional dance"
"205","beautiful park make sure to catch done of the dance performances too whenever yhey happen "
"206","i give  stars because i appreciate that this project finally almost finished apparently although the giant garuda wisnu kencana has finally stand tall its actually still lots of home work to do the master plan is really huge and maybe will take another twenty more years to be completed"
"207","great place to visit reasonable with the entry price just remember to buy the tickets online its more cheaper than you walkin to the place    amazing place to think that you can cut out a hill or cliff ive seen the place in    "
"208","nice tourist spot for arts and statues"
"209","nice park overlooking denpasar and bali island"
"210","great landmark you can get pictures taken in traditional balinese cloths and costumes here ticket price is  inr per person"
"211","i really enjoyed it i didnt pay to go to the garuda statue but i was still able to walk aroundthey have a starbucks there and the food stall outside was very goodthey did also have alot of restaurants available inside awesome for pics if you love statues and bali culture like i do   "
"212","one of a must spot that you need to visit in bali quite amusing"
"213","i was involved in this project in a consultant company more than  years ago but finally can visit it after the biggest statue completely done the garuda wisnu kencana "
"214","great experience in a newly made tourist attractionvery surreal"
"215","what a rip off waited in the sun for  minutes after paing entrance fee after that we learned that there are only small shuttle buses for  people every  minutes so we sould wait for another ar least  minutes and no refunds and no possibilty to go by walk shame on you worst experience ever"
"216","its too expensive if not interested in mythology can give it a miss personal opinion is to spend more time in some of the beautiful beaches in south bali than in this park"
"217","an iconic stage for the gigantic sized sculptures of the hindu gods pantheon the park is expansive ideal for taking scenic photographs between the massive limestones"
"218","early stages of development of turning it into more of an attraction but i was just interested in getting up close to the statue you can see from all across bali"
"219","there are multiple statues  the main one vishnu riding a garuda is pretty breath taking all of which make great photo opportunities the statue is huge and the artwork inside is nice the layout is a bit confusing but you can pay for a "
"220","great place id suggest to come in the afternoon and spend half a day with the visit reading in the museum on top of the hill and in the entrance watch the dance in amphitheater close the day in the evening by kecak dance included in the ticket"
"221","we had the most amazing day at gwk the food festival was great and the events at amphitheater and parade and kecak dance were amazing my husband and i were so blessed to experience all of it and stayed over  hours"
"222","the statues were beautiful however it felt like you are continuously paying for things which ought to be included in th entrance fee the park seems uneccessarily spread out so you walk through large empty spaces for a little while to see "
"223","this is one in the bucket list place need to see when we are in bali if you get here with your private vehicle you have to park your vehicle in designated parking area below the hill then ride the shuttle bus to the ticket box "
"224","been here many times before the status was built this is the first visit after it was completed an impressive place to visit and spend the day to learn about local culture but "
"225","great place and statue is big with spectacular view average spend time is hrs must visit place on the vacation trip to bali"
"226","beautiful park with temples and statues inside the visit is worth it for every tourist visiting southern parts of bali it would take approximately around  hours to finish the tour inside the park the park is also well maintained and "
"227","bad experience and not worth visiting majority of park is closed is it really g fault you can visit big sculpture where elevator is not working and art museum which is prepared for payed photoshoots organization is chaotic need to wait shuttle cars as cant walk anywhere"
"228","the observation platform was closed for renovation supposedly until  wayfinding could be better nothing architecturally significant inside the building overall good experience"
"229","beautiful site be ready to walk and to climb some stairs and hills the landmarks are stunning and the whole site makes you little surrounded by gigantic men made artworks "
"230","meh should have been put better modern museum below the gwk they have some story telling but doesnt look permanent and looks pretty cheap here is my refer for "
"231","a huge installation of garuda statue the worlds rd tallest"
"232","iconic place in balifull entertainment and culture learning center"
"233","simply amazing place you first go to see the huge statue then u get lost in the whole environment there the maintenance is simply amazing and all the staff are working really great the minute details of all the statues and idols are amazing feel more connected to the hindu mythology must visit place"
"234","this is an amazing mustvisited place this cultural park consists a lot of complexes inside you can see a lot of cultural performances here the statue is breathtaking especially when you go upstairs by lift and see around oh my gosh thats wonderful"
"235","due to g most of the park and statues are closed for public tickets are discounted at k idr but we decided to not go in as there was nothing to see please consider before going"
"236","a well spend half day here things to carry umbrella too hot "
"237","its still a work in progress but worth the visit also get the tour information before walking up there so you know when the tour times are but they normally run every  mins up till pm cant do any tours after that time but the park is still opened also go watch the theatre show worth the time to sit and watch"
"238","the garuda statue is made of copper and brass cost almost  million to make   it is meant to be indonesias tallest statue which is taller than the statue of liberty for comparison we couldnt really get a sense of how "
"239","if  you travel to bali with your family this place is a must to visit  "
"240","definitely not a great experience took two hours to look at the  statutes that i wanted to look at bus system is terrible cool spots but im not trying to spend that long there"
"241","dance at amphitheatre is a highlight the cost is very high though they charge for showing their artisium which is a pitty worth visit but only if the charge is lesser"
"242","very nice park and idols the bus to and fro between the locations is a bit non intuitive and wastes time but the whole place is maintained very nicely"
"243","happy with the tour wheelchair friendly they have paid buggy service for you to go and explore gwk entrance fee is   rupiah for adults and if you wished to go up to the main statue the price is   rupiah they also provide a welcome drink  fyi kecak dance is available everyday subject to weather at pm "
"244","you can if the place if you are interested in culture and heritage best show case of indonesian hindu and traditional heritage"
"245","a nice place to visit well developed part of bali nice monuments interesting programs many services"
"246","this is a great place to see although they are still working on it you get a shuttle from the carpark up to the main monument entrance and then for  rupiah you can get a golf buggy up to the top you can pay  rupiah to go up in "
"247","apart from the massive statue the shows in the colosseum was also really nice i just didnt understand the story because i declined the synopsis qr code  "
"248","a tourist trap with expensive tickets dont recommended garuda wisnu kencana cultural parkindonesiantaman budaya garuda wisnu "
"249","there is  statues to see here i would recommend coming closer to sunset because most of the grounds are not shaded and open to the sun i came mid afternoon and it was hot "
"250","dramatic landscape with a park carved out of limestone  good photo ops plenty of refreshment points and souvenir shops  please dress decently as this is a religious site  note that the main statue is best viewed from the park but you "
"251","the gwk culural center is a nice place to visit but i wouldnt classify it as a mustvisit  at least not for people that truly want to experience the real bali in all its true history and culture "
